Index,Product_Title,Price_of_the_Product,Product_Details,Product_Image_URL,scarp_url
1,Old Spice Shaving Cream - 70 g (original) - Pack of 2,8,"Old Spice Shaving Cream - 70g (Original) - Pack of 2 - Good lubrication quality in Old Spice Lather shaving foam gives optimal gliding action a tighter, comfortable shave. Richer, longer - lasting foam stays on during your shave. Use Old Spice Lather shaving cream where you will find the masculine freshness of the old spice.","https://m.media-amazon.com/images/I/41xHbjdSXJL._SX355_PIbundle-2,TopRight,0,0_SX355SY222SH20_.jpg",https://www.amazon.de/dp/000004458X
2,Short Story: Violoncello und Klavier. (Cello-Bibliothek),16.00,Short Story: Violoncello und Klavier. (Cello-Bibliothek),"https://images-na.ssl-images-amazon.com/images/I/41zw0783tpL._SX380_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000101742X
3,Short story (dushkin/hegyi) violon,,Short story (dushkin/hegyi) violon,"https://images-na.ssl-images-amazon.com/images/I/41zw0783tpL._SX380_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000101742X
4,"Concerto grosso g-Moll: Weihnachtskonzert. op. 6/8. 2 Violinen, Violoncello, Streichorchester und Cembalo. Partitur. (Concertino)",13.50,"Concerto grosso g-Moll: Weihnachtskonzert. op. 6/8. 2 Violinen, Violoncello, Streichorchester und Cembalo. Partitur. (Concertino)","https://images-na.ssl-images-amazon.com/images/I/51sNFyf2t6L._SX378_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000102163X
5,Concerto grosso 8 g opus 6 partitu,,Concerto grosso 8 g opus 6 partitu,"https://images-na.ssl-images-amazon.com/images/I/51sNFyf2t6L._SX378_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000102163X
6,Concertino B-Dur: Violine und Orchester. Klavierauszug mit Solostimme. (Edition Schott),12.65,Concertino B-Dur: Violine und Orchester. Klavierauszug mit Solostimme. (Edition Schott),"https://images-na.ssl-images-amazon.com/images/I/41HnYQBk7PL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000103863X
7,Concertino bes violon,,Concertino bes violon,"https://images-na.ssl-images-amazon.com/images/I/41HnYQBk7PL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000103863X
8,"Concerto in E flat ""Dumbarton Oaks"": für Kammerorchester. Kammerorchester. Studienpartitur. (Musik unserer Zeit)",18.00,"Concerto in E flat ""Dumbarton Oaks"": für Kammerorchester. Kammerorchester. Studienpartitur. (Musik unserer Zeit)","https://images-na.ssl-images-amazon.com/images/I/41fgZjPnmCL._SX351_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000104317X
9,Concert es kammerorchester parti musique d'ensemble,"27,08",Concert es kammerorchester parti musique d'ensemble,"https://images-na.ssl-images-amazon.com/images/I/41fgZjPnmCL._SX351_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000104317X
10,"Musik für Kinder: Im Fünftonraum. Vol. 1. Singstimme, Blockflöte und Schlagzeug. Sing- und Spielpartitur. (Orff-Schulwerk)",22.00,"Musik für Kinder: Im Fünftonraum. Vol. 1. Singstimme, Blockflöte und Schlagzeug. Sing- und Spielpartitur. (Orff-Schulwerk)","https://images-na.ssl-images-amazon.com/images/I/419-3yqvVML._SY332_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000104348X
11,Schulwerk vol. 1 (ted.) (orff/keetman),,Schulwerk vol. 1 (ted.) (orff/keetman),"https://images-na.ssl-images-amazon.com/images/I/419-3yqvVML._SY332_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000104348X
12,"5 antike Oden: nach Gedichten von Sappho. op. 57. mittlere Frauenstimme, Viola und Klavier. mittel. Stimmensatz. (Edition Schott)",32.00,"5 antike Oden: nach Gedichten von Sappho. op. 57. mittlere Frauenstimme, Viola und Klavier. mittel. Stimmensatz. (Edition Schott)","https://images-na.ssl-images-amazon.com/images/I/41uGG66YO-L._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000104396X
13,Funf antike oden op. 57 -ensemble de partitions,,Funf antike oden op. 57 -ensemble de partitions,"https://images-na.ssl-images-amazon.com/images/I/41uGG66YO-L._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000104396X
14,Etuden 1 & 2 orgue,"31,19",Etuden 1 & 2 orgue,"https://images-na.ssl-images-amazon.com/images/I/31+SH2b7VAL._SY351_BO1,204,203,200_.jpg",https://www.amazon.es/dp/000106875X
15,Etuden 1 & 2 orgue,"31,19",Etuden 1 & 2 orgue,"https://images-na.ssl-images-amazon.com/images/I/31+SH2b7VAL._SY351_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000106875X
16,Etuden 1 & 2 orgue: Orgel.,"31,19",Etuden 1 & 2 orgue: Orgel.,"https://images-na.ssl-images-amazon.com/images/I/31+SH2b7VAL._SY351_BO1,204,203,200_.jpg",https://www.amazon.it/dp/000106875X
17,"Sämtliche Lieder mit Klavierbegleitung: mit Anhang: Frühe Lieder und Fragmente. Band 2. Singstimme und Klavier. (Edition Schott, Band 2)",,"Sämtliche Lieder mit Klavierbegleitung: mit Anhang: Frühe Lieder und Fragmente. Band 2. Singstimme und Klavier. (Edition Schott, Band 2)","https://images-na.ssl-images-amazon.com/images/I/41K3KHLZHNL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000107119X
18,Complete songs with piano accompaniment band 2 chant,,Complete songs with piano accompaniment band 2 chant,"https://images-na.ssl-images-amazon.com/images/I/41K3KHLZHNL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000107119X
19,Orchester-Probespiel Kontrabass: Sammlung wichtiger Passagen aus der Opern- und Konzertliteratur. Kontrabass.,26.00,Orchester-Probespiel Kontrabass: Sammlung wichtiger Passagen aus der Opern- und Konzertliteratur. Kontrabass.,"https://images-eu.ssl-images-amazon.com/images/I/61OVNlClEDL._SX198_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.de/dp/000108142X
20,Spielbuch orchestre,,Spielbuch orchestre,"https://images-na.ssl-images-amazon.com/images/I/61OVNlClEDL._SX379_BO1,204,203,200_.jpg",https://www.amazon.es/dp/000108142X
21,Spielbuch orchestre,"40,80",Spielbuch orchestre,"https://images-na.ssl-images-amazon.com/images/I/61OVNlClEDL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108142X
22,Wir hören und spielen: Ein Weg zum absoluten Gehör. Band 3. Klavier.,32.00,Wir hören und spielen: Ein Weg zum absoluten Gehör. Band 3. Klavier.,"https://images-eu.ssl-images-amazon.com/images/I/51d3H5bMOmL._SX198_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.de/dp/000108173X
23,Wir horen und spielen band 3 piano,"41,45",Wir horen und spielen band 3 piano,"https://images-eu.ssl-images-amazon.com/images/I/51d3H5bMOmL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.fr/dp/000108173X
24,Arien(2) (grand macabre) 2e akte,"35,36",Arien(2) (grand macabre) 2e akte,"https://images-na.ssl-images-amazon.com/images/I/41usGis9EJL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108299X
25,Arien(2) (grand macabre) 2e akte,,Arien(2) (grand macabre) 2e akte,"https://images-na.ssl-images-amazon.com/images/I/41usGis9EJL._SX379_BO1,204,203,200_.jpg",https://www.amazon.it/dp/000108299X
26,Fantasie c piano,"9,03",Fantasie c piano,"https://images-na.ssl-images-amazon.com/images/I/41qQkCHj52L._SX375_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108657X
27,Fantasie c piano,"9,03",Fantasie c piano,"https://images-na.ssl-images-amazon.com/images/I/41qQkCHj52L._SX375_BO1,204,203,200_.jpg",https://www.amazon.it/dp/000108657X
28,Le Coucou: Rondeau. Klavier. (Edition Schott Einzelausgabe),1.20,Le Coucou: Rondeau. Klavier. (Edition Schott Einzelausgabe),"https://images-na.ssl-images-amazon.com/images/I/41am5Cllb9L._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000108660X
29,Coucou piano,"12,09",Coucou piano,"https://images-na.ssl-images-amazon.com/images/I/41am5Cllb9L._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108660X
30,Adelaide: op. 46. mittlere Singstimme und Klavier. (Edition Schott Einzelausgabe),6.50,Adelaide: op. 46. mittlere Singstimme und Klavier. (Edition Schott Einzelausgabe),"https://images-na.ssl-images-amazon.com/images/I/41zo5m7iCzL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000108688X
31,Adelaide op.46,"13,20",Adelaide op.46,"https://images-na.ssl-images-amazon.com/images/I/41zo5m7iCzL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108688X
32,Cavatine: op. 85/3. Violine (Violoncello) und Klavier. (Edition Schott Einzelausgabe),,Cavatine: op. 85/3. Violine (Violoncello) und Klavier. (Edition Schott Einzelausgabe),"https://images-na.ssl-images-amazon.com/images/I/410JKNeHjbL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000108898X
33,Cavatine opus 85/3 violon,,Cavatine opus 85/3 violon,"https://images-na.ssl-images-amazon.com/images/I/410JKNeHjbL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000108898X
